light	rgb	motion	heading	temp	press
0.000000	0,0,0	-1.99951171875,-0.6292724609375,1.99951171875	141.670000	32.203360	102754.895171
14299.000000	66,94,103	0.00457763671875,-0.05029296875,1.0653076171875	261.730000	32.182904	102754.437424
14288.000000	66,94,103	0.0059814453125,-0.050537109375,1.06512451171875	262.030000	32.166111	102753.931154
14277.000000	66,94,103	0.00372314453125,-0.05010986328125,1.06561279296875	261.690000	32.157868	102754.907812
14271.000000	66,94,103	0.0035400390625,-0.05047607421875,1.06689453125	261.750000	32.143823	102752.993299
14260.000000	66,94,103	0.01092529296875,-0.04974365234375,1.0625	262.160000	32.131610	102752.426413
14249.000000	66,94,103	0.0045166015625,-0.04962158203125,1.06402587890625	261.820000	32.120924	102752.119349
14239.000000	66,94,103	0.00225830078125,-0.05010986328125,1.06304931640625	261.610000	32.111154	102752.136161
14234.000000	66,94,103	0.005126953125,-0.047607421875,1.06671142578125	261.790000	32.102910	102752.076817
14227.000000	66,94,103	0.01385498046875,-0.0595703125,1.06396484375	260.610000	32.095888	102752.225343
12029.000000	68,94,102	0.006591796875,-0.05023193359375,1.0645751953125	215.570000	32.088866	102752.037867
10366.000000	69,95,102	0.006591796875,-0.05078125,1.0677490234375	215.600000	32.083065	102751.890287
10348.000000	69,95,102	0.00445556640625,-0.05047607421875,1.06463623046875	215.480000	32.080927	102751.694450
10340.000000	69,95,102	0.00732421875,-0.04949951171875,1.06536865234375	215.590000	32.080011	102751.538526
10330.000000	69,95,102	0.0096435546875,-0.0491943359375,1.0732421875	215.520000	32.077569	102751.458699
10313.000000	69,95,102	0.00518798828125,-0.05303955078125,1.06451416015625	215.680000	32.071157	102751.375132
